securityId,bid,mid,offer,bid_size,offer_size,dest,utc,dt
AUD/CAD,0.91242,0.9124650000000001,0.91251,2000000.0,2000000.0,JPM,1724778533755,1724778533755
GBP/AUD,1.95265,1.952715,1.95278,1000000.0,250000.0,UBS,1724778533827,72
USD/CAD,1.34608,1.3460999999999999,1.34612,1500000.0,1000000.0,JPM,1724778533853,26
AUD/JPY,97.686,97.691,97.696,3000000.0,1000000.0,JPM,1724778533873,20
GBP/CAD,1.78172,1.78179,1.78186,2000000.0,250000.0,JPM,1724778533903,30
EUR/JPY,160.952,160.9565,160.961,1000000.0,1000000.0,JPM,1724778533968,65
USD/MXN,19.6776,19.67915,19.6807,1000000.0,250000.0,JPM,1724778533988,20
AUD/JPY,97.689,97.69149999999999,97.694,1000000.0,500000.0,UBS,1724778534003,15
EUR/CAD,1.50332,1.50336,1.5034,1000000.0,1000000.0,JPM,1724778534127,124
CAD/JPY,107.059,107.06299999999999,107.067,2000000.0,250000.0,JPM,1724778534128,1
EUR/CAD,1.5033,1.503365,1.50343,1000000.0,2000000.0,CURRENEX,1724778534128,0
GBP/USD,1.3237,1.323735,1.32377,1000000.0,500000.0,CURRENEX,1724778534128,0
USD/CAD,1.35017,1.3481450000000001,1.34612,1000000.0,1000000.0,CURRENEX,1724778534128,0
USD/MXN,19.678,19.67925,19.6805,1000000.0,1000000.0,CURRENEX,1724778534128,0
USD/SGD,1.30243,1.3024550000000001,1.30248,1000000.0,1000000.0,CURRENEX,1724778534128,0
USD/CAD,1.34608,1.3460999999999999,1.34612,1500000.0,2000000.0,JPM,1724778534234,106
XAU/USD,2514.75,2514.8199999999997,2514.89,150.0,1000.0,JPM,1724778534251,17
USD/NOK,10.47735,10.47848,10.47961,250000.0,250000.0,JPM,1724778534255,4
AUD/JPY,97.687,97.69149999999999,97.696,1000000.0,1000000.0,JPM,1724778534258,3
USD/ILS,3.6729,3.6764,3.6799,1000000.0,1000000.0,JPM,1724778534258,0
AUD/NZD,1.0869,1.08698,1.08706,1000000.0,1000000.0,JPM,1724778534258,0
